ID#,Species,Diet,Mutation Offset,Speed,Vision Radius,Size
84932,Species#2,Omnivore,0.2,1.000338,3.106982,1.008324,
85762,Species#2,Omnivore,0.2,1.031317,3.36193,1.274829,
86570,Species#2,Omnivore,0.2,1.210128,3.439798,1.088121,
86873,Species#2,Omnivore,0.2,1.078957,3.169643,1.18321,
87225,Species#2,Omnivore,0.2,1.175172,3.012347,1.166673,
89001,Species#2,Omnivore,0.2,0.830266,3.180436,1.366897,
89039,Species#2,Omnivore,0.2,1.28513,3.088262,1.384248,
89433,Species#2,Omnivore,0.2,1.158716,3.181784,1.179828,
91244,Species#2,Omnivore,0.2,0.936194,2.846271,1.427518,
91869,Species#2,Omnivore,0.2,1.266581,3.018419,1.039837,
91920,Species#2,Omnivore,0.2,1.361729,3.392637,1.497963,
92037,Species#2,Omnivore,0.2,0.867412,3.409917,0.956604,
92159,Species#2,Omnivore,0.2,1.156373,3.260617,1.076681,
92418,Species#2,Omnivore,0.2,0.839794,3.141616,1.487596,
92474,Species#2,Omnivore,0.2,1.229908,3.164966,1.266315,
92497,Species#2,Omnivore,0.2,1.21933,3.163814,1.139725,
92543,Species#2,Omnivore,0.2,1.118837,3.498284,1.262553,
92691,Species#2,Omnivore,0.2,0.998918,3.048051,1.191245,
92943,Species#2,Omnivore,0.2,1.197602,2.788145,1.73871,
93131,Species#2,Omnivore,0.2,1.331815,3.137115,0.976582,
93210,Species#2,Omnivore,0.2,1.611406,2.771066,1.002315,
93233,Species#2,Omnivore,0.2,1.072232,3.249117,0.996496,
93266,Species#2,Omnivore,0.2,0.936662,2.999402,1.12051,
93340,Species#2,Omnivore,0.2,1.066523,3.440848,1.142292,
93404,Species#2,Omnivore,0.2,0.967546,3.297837,1.109762,
93465,Species#2,Omnivore,0.2,0.660432,3.347593,1.480558,
93738,Species#2,Omnivore,0.2,1.670862,2.910235,1.235219,
93804,Species#2,Omnivore,0.2,1.164665,3.318674,1.373953,
93993,Species#2,Omnivore,0.2,0.876424,3.250845,1.354068,
94014,Species#2,Omnivore,0.2,1.176352,3.183135,0.965502,
94061,Species#2,Omnivore,0.2,1.270423,3.140331,0.974353,
94117,Species#2,Omnivore,0.2,0.922903,3.115486,1.136228,
94170,Species#2,Omnivore,0.2,1.049465,3.007091,1.160167,
